"Name"
"Ac"
"Ag"
"Al"
"Ar"
"As"
"At"
"Au"
"B"
"Ba"
"Be"
"Bi"
"Br"
"C"
"Ca"
"Cd"
"Ce"
"Cl"
"Co"
"Cr"
"Cs"
"Cu"
"Dy"
"Er"
"Eu"
"F"
"Fe"
"Fr"
"Ga"
"Gd"
"Ge"
"H"
"He"
"Hf"
"Hg"
"Ho"
"I"
"In"
"Ir"
"K"
"Kr"
"La"
"Li"
"Lu"
"Mg"
"Mn"
"Mo"
"N"
"Na"
"Nb"
"Nd"
"Ne"
"Ni"
"O"
"Os"
"P"
"Pa"
"Pb"
"Pd"
"Pm"
"Po"
"Pr"
"Pt"
"Ra"
"Rb"
"Re"
"Rh"
"Rn"
"Ru"
"S"
"Sb"
"Sc"
"Se"
"Si"
"Sm"
"Sn"
"Sr"
"Ta"
"Tb"
"Tc"
"Te"
"Th"
"Ti"
"Tl"
"Tm"
"U"
"V"
"W"
"Xe"
"Y"
"Yb"
"Zn"
"Zr"
