"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"50","1.651E-06","0.003474","0.0001362","0.08308","0.0008983","0.08759","0.08759"
"60","1.146E-06","0.002995","0.0001125","0.08742","0.0009656","0.09149","0.09149"
"80","6.449E-07","0.002361","8.346E-05","0.09379","0.001066","0.0973","0.0973"
"100","4.126E-07","0.00196","6.633E-05","0.0983","0.001138","0.1015","0.1015"
"150","1.834E-07","0.001396","4.383E-05","0.1054","0.001256","0.1081","0.1081"
"200","1.032E-07","0.001094","3.272E-05","0.1096","0.001328","0.112","0.112"
"300","4.585E-08","0.0007757","2.173E-05","0.1145","0.001417","0.1167","0.1167"
"400","2.58E-08","0.0006074","1.626E-05","0.1173","0.001469","0.1194","0.1194"
"500","1.651E-08","0.0005028","1.299E-05","0.1191","0.001505","0.1212","0.1212"
"600","1.146E-08","0.0004305","1.081E-05","0.1205","0.001531","0.1224","0.1224"
"800","6.449E-09","0.0003363","8.102E-06","0.1222","0.001567","0.1241","0.1241"
"1000","4.126E-09","0.0002766","6.477E-06","0.1233","0.001591","0.1252","0.1252"
"1500","1.834E-09","0.0001932","4.313E-06","0.125","0.001626","0.1268","0.1268"
"2000","1.032E-09","0.0001495","3.235E-06","0.1259","0.001647","0.1277","0.1277"
"3000","4.585E-10","0.000104","2.155E-06","0.1268","0.001668","0.1286","0.1286"
"4000","2.58E-10","8.026E-05","1.616E-06","0.1274","0.001681","0.1291","0.1291"
"5000","1.651E-10","6.562E-05","1.293E-06","0.1277","0.001689","0.1295","0.1295"
"6000","1.146E-10","5.565E-05","1.077E-06","0.1279","0.001695","0.1297","0.1297"
"8000","6.449E-11","4.288E-05","8.076E-07","0.1282","0.001702","0.13","0.13"
