"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"400","2.512E-08","0.0006062","1.565E-05","0.1162","0.001469","0.1183","0.1183"
"500","1.607E-08","0.0005017","1.25E-05","0.118","0.001505","0.12","0.12"
"600","1.116E-08","0.0004296","1.041E-05","0.1193","0.001531","0.1213","0.1213"
"800","6.28E-09","0.0003356","7.799E-06","0.1211","0.001567","0.123","0.123"
"1000","4.019E-09","0.0002759","6.237E-06","0.1222","0.001591","0.124","0.124"
"1500","1.786E-09","0.0001927","4.154E-06","0.1238","0.001627","0.1256","0.1256"
"2000","1.005E-09","0.0001492","3.115E-06","0.1247","0.001647","0.1265","0.1265"
"3000","4.466E-10","0.0001037","2.075E-06","0.1256","0.001669","0.1274","0.1274"
"4000","2.512E-10","8.008E-05","1.556E-06","0.1262","0.001682","0.1279","0.1279"
"5000","1.607E-10","6.547E-05","1.245E-06","0.1265","0.00169","0.1282","0.1282"
"6000","1.116E-10","5.551E-05","1.037E-06","0.1267","0.001696","0.1285","0.1285"
"8000","6.28E-11","4.278E-05","7.776E-07","0.127","0.001703","0.1288","0.1288"
