"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"80","7.037E-07","0.002344","9.529E-05","0.09575","0.001054","0.09924","0.09924"
"100","4.504E-07","0.001945","7.574E-05","0.1004","0.001125","0.1035","0.1035"
"150","2.002E-07","0.001385","5.003E-05","0.1076","0.001241","0.1103","0.1103"
"200","1.126E-07","0.001086","3.737E-05","0.1119","0.001313","0.1144","0.1144"
"300","5.003E-08","0.0007699","2.48E-05","0.1169","0.001399","0.1191","0.1191"
"400","2.816E-08","0.000603","1.855E-05","0.1198","0.001451","0.1219","0.1219"
"500","1.802E-08","0.0004991","1.482E-05","0.1217","0.001486","0.1237","0.1237"
"600","1.251E-08","0.0004274","1.234E-05","0.123","0.001511","0.125","0.125"
"800","7.037E-09","0.0003339","9.246E-06","0.1248","0.001546","0.1267","0.1267"
"1000","4.504E-09","0.0002746","7.392E-06","0.126","0.001569","0.1278","0.1278"
"1500","2.002E-09","0.0001918","4.924E-06","0.1276","0.001604","0.1294","0.1294"
"2000","1.126E-09","0.0001484","3.691E-06","0.1286","0.001623","0.1303","0.1303"
"3000","5.003E-10","0.0001032","2.458E-06","0.1295","0.001644","0.1312","0.1312"
"4000","2.816E-10","7.965E-05","1.844E-06","0.1301","0.001657","0.1318","0.1318"
"5000","1.802E-10","6.512E-05","1.475E-06","0.1304","0.001665","0.1322","0.1322"
"6000","1.251E-10","5.524E-05","1.229E-06","0.1307","0.00167","0.1324","0.1324"
"8000","7.037E-11","4.255E-05","9.217E-07","0.131","0.001677","0.1327","0.1327"
