"Weight","Element"
"0.022500","Li"
"0.001630","Mg"
"0.944000","Al"
"0.000650","Si"
"0.000980","Ti"
"0.000330","Cr"
"0.000330","Mn"
"0.000780","Fe"
"0.027000","Cu"
"0.000650","Zn"
"0.001150","Zr"
