"Weight","Element"
"0.007781","H"
"0.076175","C"
"0.000363","N"
"0.459103","O"
"0.011659","Na"
"0.021757","Mg"
"0.051009","Al"
"0.231474","Si"
"0.002804","S"
"0.017058","K"
"0.084471","Ca"
"0.003403","Ti"
"0.000024","V"
"0.000362","Mn"
"0.031375","Fe"
"0.000002","Ni"
"0.001179","Pb"
