"Weight","Element"
"0.001657","H"
"0.026906","C"
"0.488149","O"
"0.012403","Na"
"0.023146","Mg"
"0.054264","Al"
"0.246249","Si"
"0.000577","S"
"0.018147","K"
"0.089863","Ca"
"0.003621","Ti"
"0.000386","Mn"
"0.033377","Fe"
"0.001255","Pb"
