"Weight","Element"
"0.028528","Al"
"0.003339","Si"
"0.003555","Mn"
"0.010208","Fe"
"0.006718","Ni"
"0.874157","Cu"
"0.036037","Zn"
"0.024503","Sn"
"0.012957","Pb"
