"Weight","Element"
"0.003113","H"
"0.330504","O"
"0.009338","Mg"
"0.023486","Al"
"0.025750","Si"
"0.001415","S"
"0.071024","Ca"
"0.054329","Ti"
"0.003113","V"
"0.001698","Cr"
"0.001981","Mn"
"0.474250","Fe"
