"Weight","Element"
"0.107979","H"
"0.000005","B"
"0.858803","O"
"0.000001","F"
"0.010784","Na"
"0.001284","Mg"
"0.000905","S"
"0.019352","Cl"
"0.000399","K"
"0.000412","Ca"
"0.000067","Br"
"0.000008","Sr"
