"Weight","Element"
"0.513713","O"
"0.006140","Na"
"0.013303","Mg"
"0.068563","Al"
"0.271183","Si"
"0.014327","K"
"0.051167","Ca"
"0.004605","Ti"
"0.000716","Mn"
"0.056283","Fe"
