"Weight","Element"
"0.002000","C"
"0.004000","Si"
"0.000300","P"
"0.000200","S"
"0.003000","V"
"0.115000","Cr"
"0.006000","Mn"
"0.849500","Fe"
"0.005000","Ni"
"0.010000","Mo"
"0.005000","W"
