"Column"
"Atomic Number"
"Element Name"
"Symbol"
"Atomic Mass"
"Number of Neutrons"
"Number of Protons"
"Number of Electrons"
"Period"
"Group"
"Phase"
"Radioactive"
"Natural"
"Metallicity"
"Type"
"Atomic Radius"
"Electronegativity"
"Ionization Energy"
"Density"
"Melting Point"
"Boiling Point"
"Stable Isotopes"
"Discoverer"
"Year of Discovery"
"Specific Heat"
"Number of Shells"
"Number of Valence"
