"Weight","Element"
"0.000050","B"
"0.000730","C"
"0.005000","Al"
"0.003180","Si"
"0.000140","P"
"0.000140","S"
"0.009000","Ti"
"0.190000","Cr"
"0.003180","Mn"
"0.170000","Fe"
"0.525000","Ni"
"0.009100","Co"
"0.002730","Cu"
"0.051250","Nb"
"0.030500","Mo"
