"Weight","Element"
"0.101866","H"
"0.100020","C"
"0.029640","N"
"0.759414","O"
"0.001850","Na"
"0.000040","Mg"
"0.000030","Si"
"0.000350","P"
"0.001850","S"
"0.002780","Cl"
"0.001630","K"
"0.000060","Ca"
"0.000460","Fe"
"0.000010","Zn"
