"Weight","Element"
"0.006187","H"
"0.175193","C"
"0.410184","O"
"0.000271","Na"
"0.032649","Mg"
"0.010830","Al"
"0.034479","Si"
"0.001138","K"
"0.321287","Ca"
"0.007784","Fe"
