"Weight","Element"
"0.022100","H"
"0.002484","C"
"0.574930","O"
"0.015208","Na"
"0.001266","Mg"
"0.019953","Al"
"0.304627","Si"
"0.010045","K"
"0.042951","Ca"
"0.006435","Fe"
