"Weight","Element"
"0.000899","H"
"0.113782","C"
"0.497802","O"
"0.000373","Na"
"0.047860","Mg"
"0.004254","Al"
"0.024419","Si"
"0.000201","S"
"0.000334","K"
"0.305865","Ca"
"0.000361","Ti"
"0.003513","Fe"
"0.000337","Pb"
