"Weight","Element"
"0.011835","H"
"0.496356","O"
"0.133383","Mg"
"0.063151","Al"
"0.189668","Si"
"0.021668","K"
"0.016353","Ca"
"0.009854","Ti"
"0.057732","Fe"
